hour,txn_count,avg_check
0,51230,1419.3331836814366
1,38223,1123.032179577741
2,37995,1142.6135544150545
3,38562,1105.4557854883046
4,38352,1111.612406132666
5,38281,1124.273425459105
6,38284,1107.985476961655
7,37817,1095.4171668826189
8,37596,1128.1659751037344
9,38104,1113.3684914969558
10,38490,1108.4842296700442
11,38086,1154.930394370635
12,37763,1140.4954849985436
13,38042,1144.944377267231
14,38395,1118.7544992837609
15,37946,1124.468402466663
16,38286,1107.367366661443
17,38119,1150.997953776332
18,38072,1141.3362838831688
19,38339,1150.089073789092
20,38160,1140.1680555555556
21,38453,1155.5730632200348
22,38475,1119.9007407407407
23,38065,1127.4271903323263
