product_company,txn_count,revenue,avg_check,users
СберМаркет,8350,22576107,2703.7253892215567,186
WILDBERRIES,4022,22262617,5535.2105917454,983
H&M,3993,22209207,5562.035311795642,971
Bershka,4046,22103157,5462.965150766189,976
Zara,3946,21790613,5522.202990369995,981
Lamoda,3947,21716435,5502.010387636179,978
Marks&Spencer,3923,21704447,5532.614580678052,983
Billa,7562,20317620,2686.805078021687,168
Утконос Онлайн,7396,19897107,2690.2524337479717,163
Перекресток,7286,19618458,2692.623936316223,161
Ашан,7259,19562879,2694.9826422372225,162
Яндекс.Лавка,7157,19214783,2684.7538074612266,160
Парикмахерская DIMAX,6091,9167968,1505.1663109505828,996
Косметик центр,6089,9087696,1492.4775825258664,998
Рив Гош,5970,8898309,1490.5040201005024,993
BritVa Barbershop,5937,8886396,1496.7822132390097,995
Московский Метрополитен,116903,8770855,75.02677433427714,1000
Стрелка,116124,8704036,74.95466914677414,1000
Solo Burger Bar,4799,8489919,1769.1016878516357,989
Кафе Скала,4866,8486464,1744.0328812166051,993
Своя компания,4813,8410939,1747.5460211926033,992
IL patio,4782,8391022,1754.7097448766206,986
Ресторан Мирадж,4775,8376380,1754.2157068062827,987
АЗС ГАЗПРОМ,4368,6572518,1504.6973443223444,378
АЗС ГАЗПРОМНЕФТЬ,4244,6363109,1499.3188030160227,378
АЗС Лукойл,4196,6287077,1498.3500953288847,378
РОСНЕФТЬ,4165,6221703,1493.8062424969987,378
Тануки,16513,6180912,374.30581965723974,1000
Макдоналдс,16273,6125860,376.4431881029927,1000
PizzaHut,16362,6124204,374.29434054516565,1000
Burger King,16275,6109705,375.4043010752688,1000
KFC,16226,6060022,373.476026130901,1000
Якитория,16095,6032054,374.7781298539919,1000
Додо-Пицца,16128,6031587,373.9823288690476,1000
YouDrive,5618,5066364,901.809184763261,149
Карусель,5166,4643335,898.8259775454898,139
Lifcar,4901,4430453,903.9895939604162,129
Делимобиль,4804,4359762,907.5274771024147,131
Яндекс.Драйв,4764,4270962,896.507556675063,129
Kiwi Taxi,6795,4092483,602.278587196468,180
BelkaCar,4310,3849951,893.2600928074246,117
ЯндексGO,6391,3812676,596.5695509309967,170
Ситимобил,6220,3726269,599.078617363344,166
GETT,5204,3127185,600.9194850115296,137
UBER,5229,3121624,596.9829795371965,141
Театр Волшебный Фонар,6150,3072547,499.60113821138214,998
Боулинг клуб Самокат,6006,2990299,497.88528138528136,997
Большой Московский Цирк,5948,2971793,499.6289509078682,995
Бассейн Коралл,5903,2934550,497.1285786888023,997
Каро Фильм,6208,2482959,399.96117912371136,998
Киноход,6070,2420423,398.7517298187809,996
Кинотеатр Победа,5993,2394778,399.59586183881197,996
Okko,5954,2378886,399.54417198522003,998
Планета Здоровья,6064,2123659,350.2076187335092,995
Аптека ВИТА Экспресс,5979,2117666,354.18397725372137,997
Аптека 23 плюс,5961,2105273,353.1744673712464,995
"36,6",5920,2080347,351.4099662162162,995
Белый кролик,4910,1974898,402.2195519348269,995
Читай-город,4893,1946734,397.86102595544656,988
Storytel,4853,1937539,399.2456212651968,995
Роспечать,4793,1931949,403.0771959107031,984
ВЕК Развития,4759,1902322,399.7314561882748,991
Яндекс.Музыка,1370,272630,199.0,141
Google Play Музыка,1572,249948,159.0,158
YouTube Music,1352,228488,169.0,136
Boom,1395,207855,149.0,131
Spotify,1184,200096,169.0,122
Apple Music,1131,191139,169.0,113
