date,txn_count,revenue,avg_check,mau,arpu
2020-01,78503,88091906,1122.1470007515636,1000,88091.906
2020-02,73940,85308532,1153.753475791182,1000,85308.532
2020-03,78616,92501151,1176.6199119772057,1000,92501.151
2020-04,76152,86437845,1135.0699259375986,1000,86437.845
2020-05,78474,89081397,1135.1708463949844,1000,89081.397
2020-06,76017,88153703,1159.6577476090874,1000,88153.703
2020-07,78732,91093067,1157.0018162881674,1000,91093.067
2020-08,78797,90615110,1149.9817251925836,1000,90615.11
2020-09,75981,85772995,1128.8742580381938,1000,85772.995
2020-10,78861,87894434,1114.54881373556,1000,87894.434
2020-11,76211,87252573,1144.8816181391137,1000,87252.573
2020-12,78851,90496209,1147.6862563569264,1000,90496.209
